time,timeperiod,fromprov,Destination,Migrants
1,2001-2006,EC,WC,75579
1,2001-2006,EC,GP,66767
1,2001-2006,EC,KZN,42029
1,2001-2006,EC,NW,17919
1,2001-2006,EC,FS,8943
1,2001-2006,EC,MP,8068
1,2001-2006,EC,LIM,6476
1,2001-2006,EC,NC,3658
1,2001-2006,EC,EC,
1,2001-2006,FS,GP,60653
1,2001-2006,FS,NW,19513
1,2001-2006,FS,WC,9717
1,2001-2006,FS,MP,8890
1,2001-2006,FS,KZN,6899
1,2001-2006,FS,EC,6678
1,2001-2006,FS,NC,6069
1,2001-2006,FS,LIM,5397
1,2001-2006,FS,FS,
1,2001-2006,GP,NW,100051
1,2001-2006,GP,WC,90695
1,2001-2006,GP,LIM,85108
1,2001-2006,GP,MP,78975
1,2001-2006,GP,KZN,67330
1,2001-2006,GP,EC,49476
1,2001-2006,GP,FS,39950
1,2001-2006,GP,NC,12643
1,2001-2006,GP,GP,
1,2001-2006,KZN,GP,133373
1,2001-2006,KZN,MP,23027
1,2001-2006,KZN,WC,19316
1,2001-2006,KZN,EC,16527
1,2001-2006,KZN,FS,8616
1,2001-2006,KZN,NW,8162
1,2001-2006,KZN,LIM,6233
1,2001-2006,KZN,NC,2024
1,2001-2006,KZN,KZN,
1,2001-2006,LIM,GP,202093
1,2001-2006,LIM,MP,29456
1,2001-2006,LIM,NW,21296
1,2001-2006,LIM,WC,8327
1,2001-2006,LIM,KZN,5994
1,2001-2006,LIM,FS,4700
1,2001-2006,LIM,EC,3471
1,2001-2006,LIM,NC,1843
1,2001-2006,LIM,LIM,
1,2001-2006,MP,GP,101842
1,2001-2006,MP,LIM,23634
1,2001-2006,MP,KZN,12237
1,2001-2006,MP,NW,11974
1,2001-2006,MP,WC,7817
1,2001-2006,MP,FS,5046
1,2001-2006,MP,EC,4291
1,2001-2006,MP,NC,1935
1,2001-2006,MP,MP,
1,2001-2006,NC,GP,16402
1,2001-2006,NC,WC,16128
1,2001-2006,NC,NW,11056
1,2001-2006,NC,FS,7503
1,2001-2006,NC,KZN,4975
1,2001-2006,NC,MP,3783
1,2001-2006,NC,EC,3775
1,2001-2006,NC,LIM,2132
1,2001-2006,NC,NC,
1,2001-2006,NW,GP,96161
1,2001-2006,NW,NC,17996
1,2001-2006,NW,LIM,16171
1,2001-2006,NW,FS,10543
1,2001-2006,NW,MP,9657
1,2001-2006,NW,WC,7374
1,2001-2006,NW,KZN,4955
1,2001-2006,NW,EC,4202
1,2001-2006,NW,NW,
1,2001-2006,WC,GP,61102
1,2001-2006,WC,EC,50568
1,2001-2006,WC,KZN,12745
1,2001-2006,WC,NC,12498
1,2001-2006,WC,NW,6975
1,2001-2006,WC,MP,6573
1,2001-2006,WC,FS,6388
1,2001-2006,WC,LIM,5655
1,2001-2006,WC,WC,
2,2006-2011,EC,WC,79244
2,2006-2011,EC,GP,70057
2,2006-2011,EC,KZN,44114
2,2006-2011,EC,NW,18799
2,2006-2011,EC,FS,9388
2,2006-2011,EC,MP,8484
2,2006-2011,EC,LIM,6813
2,2006-2011,EC,NC,3852
2,2006-2011,EC,EC,
2,2006-2011,FS,GP,63381
2,2006-2011,FS,NW,20399
2,2006-2011,FS,WC,10162
2,2006-2011,FS,MP,9299
2,2006-2011,FS,KZN,7214
2,2006-2011,FS,EC,6975
2,2006-2011,FS,NC,6351
2,2006-2011,FS,LIM,5650
2,2006-2011,FS,FS,
2,2006-2011,GP,NW,109735
2,2006-2011,GP,WC,99495
2,2006-2011,GP,LIM,93292
2,2006-2011,GP,MP,86648
2,2006-2011,GP,KZN,73824
2,2006-2011,GP,EC,54162
2,2006-2011,GP,FS,43799
2,2006-2011,GP,NC,13862
2,2006-2011,GP,GP,
2,2006-2011,KZN,GP,140631
2,2006-2011,KZN,MP,24297
2,2006-2011,KZN,WC,20410
2,2006-2011,KZN,EC,17415
2,2006-2011,KZN,FS,9072
2,2006-2011,KZN,NW,8620
2,2006-2011,KZN,LIM,6593
2,2006-2011,KZN,NC,2139
2,2006-2011,KZN,KZN,
2,2006-2011,LIM,GP,215258
2,2006-2011,LIM,MP,31467
2,2006-2011,LIM,NW,22737
2,2006-2011,LIM,WC,8895
2,2006-2011,LIM,KZN,6413
2,2006-2011,LIM,FS,5017
2,2006-2011,LIM,EC,3716
2,2006-2011,LIM,NC,1975
2,2006-2011,LIM,LIM,
2,2006-2011,MP,GP,109730
2,2006-2011,MP,LIM,25469
2,2006-2011,MP,KZN,13190
2,2006-2011,MP,NW,12916
2,2006-2011,MP,WC,8433
2,2006-2011,MP,FS,5444
2,2006-2011,MP,EC,4635
2,2006-2011,MP,NC,2091
2,2006-2011,MP,MP,
2,2006-2011,NC,GP,17638
2,2006-2011,NC,WC,17371
2,2006-2011,NC,NW,11868
2,2006-2011,NC,FS,8075
2,2006-2011,NC,KZN,5329
2,2006-2011,NC,MP,4060
2,2006-2011,NC,EC,4051
2,2006-2011,NC,LIM,2296
2,2006-2011,NC,NC,
2,2006-2011,NW,GP,103402
2,2006-2011,NW,NC,19373
2,2006-2011,NW,LIM,17422
2,2006-2011,NW,FS,11337
2,2006-2011,NW,MP,10405
2,2006-2011,NW,WC,7945
2,2006-2011,NW,KZN,5336
2,2006-2011,NW,EC,4527
2,2006-2011,NW,NW,
2,2006-2011,WC,GP,66929
2,2006-2011,WC,EC,55220
2,2006-2011,WC,KZN,13969
2,2006-2011,WC,NC,13679
2,2006-2011,WC,NW,7647
2,2006-2011,WC,MP,7204
2,2006-2011,WC,FS,6991
2,2006-2011,WC,LIM,6193
2,2006-2011,WC,WC,
3,2011-2016,EC,WC,79570
3,2011-2016,EC,GP,70302
3,2011-2016,EC,KZN,44387
3,2011-2016,EC,NW,18813
3,2011-2016,EC,FS,9421
3,2011-2016,EC,MP,8531
3,2011-2016,EC,LIM,6850
3,2011-2016,EC,NC,3883
3,2011-2016,EC,EC,
3,2011-2016,FS,GP,65762
3,2011-2016,FS,NW,21177
3,2011-2016,FS,WC,10557
3,2011-2016,FS,MP,9657
3,2011-2016,FS,KZN,7489
3,2011-2016,FS,EC,7237
3,2011-2016,FS,NC,6599
3,2011-2016,FS,LIM,5870
3,2011-2016,FS,FS,
3,2011-2016,GP,NW,119261
3,2011-2016,GP,WC,108139
3,2011-2016,GP,LIM,101365
3,2011-2016,GP,MP,94184
3,2011-2016,GP,KZN,80226
3,2011-2016,GP,EC,58818
3,2011-2016,GP,FS,47585
3,2011-2016,GP,NC,15065
3,2011-2016,GP,GP,
3,2011-2016,KZN,GP,147160
3,2011-2016,KZN,MP,25435
3,2011-2016,KZN,WC,21413
3,2011-2016,KZN,EC,18199
3,2011-2016,KZN,FS,9479
3,2011-2016,KZN,NW,9033
3,2011-2016,KZN,LIM,6922
3,2011-2016,KZN,NC,2242
3,2011-2016,KZN,KZN,
3,2011-2016,LIM,GP,220752
3,2011-2016,LIM,MP,32301
3,2011-2016,LIM,NW,23335
3,2011-2016,LIM,WC,9126
3,2011-2016,LIM,KZN,6587
3,2011-2016,LIM,FS,5149
3,2011-2016,LIM,EC,3820
3,2011-2016,LIM,NC,2031
3,2011-2016,LIM,LIM,
3,2011-2016,MP,GP,116722
3,2011-2016,MP,LIM,27100
3,2011-2016,MP,KZN,14034
3,2011-2016,MP,NW,13757
3,2011-2016,MP,WC,8978
3,2011-2016,MP,FS,5797
3,2011-2016,MP,EC,4944
3,2011-2016,MP,NC,2230
3,2011-2016,MP,MP,
3,2011-2016,NC,GP,19165
3,2011-2016,NC,WC,18883
3,2011-2016,NC,NW,12894
3,2011-2016,NC,FS,8779
3,2011-2016,NC,KZN,5782
3,2011-2016,NC,MP,4409
3,2011-2016,NC,EC,4398
3,2011-2016,NC,LIM,2499
3,2011-2016,NC,NC,
3,2011-2016,NW,GP,112568
3,2011-2016,NW,NC,21113
3,2011-2016,NW,LIM,19007
3,2011-2016,NW,FS,12351
3,2011-2016,NW,MP,11355
3,2011-2016,NW,WC,8675
3,2011-2016,NW,KZN,5822
3,2011-2016,NW,EC,4947
3,2011-2016,NW,NW,
3,2011-2016,WC,GP,73302
3,2011-2016,WC,EC,60301
3,2011-2016,WC,KZN,15310
3,2011-2016,WC,NC,14977
3,2011-2016,WC,NW,8385
3,2011-2016,WC,MP,7897
3,2011-2016,WC,FS,7652
3,2011-2016,WC,LIM,6784
3,2011-2016,WC,WC,
