"","IATA_code","Airline","Travel.Region","Carry.On","X1st.Checked.Bag","X2nd.Checked.Bag"
"1","US","US Airways","Within USA","1 pc.,  Up to 45 in/115 cm (14 x 9 x 22 in or 36 x 23 x 56 cm) Up to 40 lbs/18 kg","$25 USD ($23 USD online)","$35 USD ($32 USD online)"
"2","DL","Delta Airlines","Within USA","1 bag and 1 personal item, not exceeding 45 linear inches (or 114 cm) in combined length, width and height, including any handles and wheels.","25USD up to 50 lbs (23 kg) and 62 inches (157 cm) total linear dimensions","35USD up to 50 lbs (23 kg) and 62 inches (157 cm) total linear dimensions"
"3","UA","United Airlines","Within USA","1 pc., (23 x 35 x 56 cm) or 114 cm","$25 USD","$35 USD"
"4","FL","AirTran Airways","Within USA","1 bag 24” length x 16” width x 10” height, for a total combined linear measurement of 50 inches plus one personal-type item (e.g. purse, briefcase, camera, food container, or laptop) 17” length x 12” width x 8.5” height","$25USD - up to (< 62 in. and < 50 lbs.)","$35USD - up to (< 62 in. and < 50 lbs.)"
"5","G4","Allegiant Airline","Within USA","Every passenger can bring One Free Personal Item with Maximum 
dimensions are 7 x 15 x 16 inches; You can purchase One Carry-On Bag for Less Than $20
with Maximum size is 9 x 14 x 22 inches per passenger ","The checked bag can weigh up to 40 pounds (18 kilos), with 
Maximum size is 80 linear inches (203 centimeters) in height + width + length, for 
price of less than $30.
For Overweight Bags: Over 40 and under 70 pounds (18.2-31.8 kilos), add $50;
Overweight Bags: between 71 and 100 pounds (32.2-45.4 kilos), add $75;
Oversize Checked Bags: height + width + depth in excess of 80 linear inches, add $75.","The checked bag can weigh up to 40 pounds (18 kilos), with 
Maximum size is 80 linear inches (203 centimeters) in height + width + length, for 
price of less than $30.
For Overweight Bags: Over 40 and under 70 pounds (18.2-31.8 kilos), add $50;
Overweight Bags: between 71 and 100 pounds (32.2-45.4 kilos), add $75;
Oversize Checked Bags: height + width + depth in excess of 80 linear inches, add $75."
"6","AA","American Airlines","Within USA","1 carry-on bag. Total dimensions may not exceed 45in / 114cm (not more than 22in / 56cm x 14in / 35cm x 9in / 23cm);
                1 personal item, such as purse, briefcase, laptop bag or a similar item such as book bag or shopping bag and must be smaller carry-on bag","$25 each way - maximum 23kgs / 50lbs;
                may not exceed 62in / 157cm","$35 each way - maximum 23kgs / 50lbs;
                may not exceed 62in / 157cm"
"7","WN","Southwest Airlines","Within USA","Carryon items are limited to one bag plus one 
smaller, personal-type item. Southwest Airlines limits carryon bag 
dimensions to 10x16x24 inches. All Customers and Employees and their 
items are subject to a thorough physical search","Maximum weight is 50 pounds and maximum size is 
62 inches (length + width + height) per check piece of luggage. Overweight 
items from 51 to 100 pounds and oversized items in excess of 62 inches but 
not more than 80 inches will be accepted for an overweight and oversize baggage 
fee of $75 per item","Maximum weight is 50 pounds and maximum size is 
62 inches (length + width + height) per check piece of luggage. Overweight 
items from 51 to 100 pounds and oversized items in excess of 62 inches but 
not more than 80 inches will be accepted for an overweight and oversize baggage 
fee of $75 per item"
"8","F9","Frontier Airlines","Within USA","Ranges from $25USD - $50USD for 1 bag that must not exceed 10"" height x 16"" width x 24"" length, inclusive of all handles, wheels, and straps, and the bag can't weigh more than 35 pounds.","$25 up to 50 pounds or 62 linear inches","$30 up to 50 pounds or 62 linear inches
                Overweight Fee: $75
                Oversize Fee: $75"
"9","AS","Alaska Airlines","Within USA","1 carry-on bag up to 10"" H x 17"" W x 24"" L (25 x 43 x 61 cm) including wheels and handles, plus one personal item, such as a purse, briefcase or laptop computer.","$25USD - up to 50 lbs and have a maximum dimension of 62 linear inches.
                (Baggage fees may be subject to Mexico IVA (4%) or Canada GST (5%) taxes, depending on your itinerary.)","$25USD - up to 50 lbs and have a maximum dimension of 62 linear inches.
                (Baggage fees may be subject to Mexico IVA (4%) or Canada GST (5%) taxes, depending on your itinerary.)"
"10","NK","Spirit Airlines","Within USA","50 linear inches (22 x 18 x 10 in) or 127 centimeters (56 x 46 x 25 cm) 
including handles and wheels; baggage fee for one carry-on is: At booking: $35.00; 
Before online web check-in:$40.00; At online web check-in: $45.00; At airport ticket counter: $55.00","Maximum of 62 linear inches (length + width + height; 158 cm) including handles and 
wheels and maximum of 40 pounds in weight (18.1 kg); baggage fee for first checked bag: At booking: $30.00;
Before online web check-in: $35.00; At online web check-in: $40.00","Maximum of 62 linear inches (length + width + height; 158 cm) including handles and 
wheels and maximum of 40 pounds in weight (18.1 kg); baggage fee for first checked bag: At booking: $40.00;
Before online web check-in: $45.00; At online web check-in: $50.00"
