CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
"Aberdeen, SD",10100,2000,103,84,19,0,0,0,0,77,54,30,0,0,0,0,85,18
"Adrian, MI",10300,2000,182,138,38,4,2,0,0,154,77,44,0,0,182,0,0,0
"Aguadilla-Isabela, PR",10380,2000,92,87,5,0,0,0,0,73,35,22,0,0,0,0,92,0
"Akron, OH",10420,2000,366,79,219,65,3,0,0,185,115,68,1,0,65,114,186,0
"Alamogordo, NM",10460,2000,56,54,2,0,0,0,0,56,34,16,0,0,0,0,0,56
"Albany, GA",10500,2000,115,40,70,5,0,0,0,122,85,54,0,0,0,0,107,8
"Albany, OR",10540,2000,115,93,20,2,0,0,0,122,72,26,0,0,0,0,115,0
"Albany-Schenectady-Troy, NY",10580,2000,366,274,84,7,1,0,0,179,72,39,3,0,252,38,73,0
"Albert Lea, MN",10660,2000,50,34,15,1,0,0,0,106,79,35,0,0,0,0,34,16
"Albuquerque, NM",10740,2000,366,123,208,35,0,0,0,147,100,58,0,16,236,0,69,45
"Alexandria, LA",10780,2000,357,226,106,25,0,0,0,150,93,44,0,0,289,0,68,0
"Alexandria, MN",10820,2000,13,11,2,0,0,0,0,69,52,21,0,0,0,0,10,3
"Allentown-Bethlehem-Easton, PA-NJ",10900,2000,366,139,192,29,4,2,0,212,97,55,0,27,90,59,184,6
"Alpena, MI",10980,2000,78,62,16,0,0,0,0,79,58,27,0,0,0,0,78,0
"Altoona, PA",11020,2000,365,280,71,12,2,0,0,177,72,40,0,86,176,100,0,3
"Amarillo, TX",11100,2000,57,52,5,0,0,0,0,64,47,26,0,0,0,0,57,0
"Americus, GA",11140,2000,245,128,74,38,5,0,0,187,108,50,0,0,245,0,0,0
"Ames, IA",11180,2000,257,203,51,3,0,0,0,115,68,36,0,0,186,0,71,0
"Anchorage, AK",11260,2000,304,256,47,1,0,0,0,115,54,30,128,0,0,0,81,95
"Ann Arbor, MI",11460,2000,245,149,86,10,0,0,0,147,80,46,0,0,153,0,92,0
"Appleton, WI",11540,2000,242,190,50,2,0,0,0,136,65,37,0,0,162,0,80,0
"Ardmore, OK",11620,2000,300,162,98,28,11,1,0,205,105,49,0,0,254,0,46,0
"Asheville, NC",11700,2000,299,103,142,45,9,0,0,179,119,61,0,0,223,0,75,1
"Ashtabula, OH",11780,2000,365,281,63,18,2,1,0,201,77,36,0,0,200,165,0,0
"Athens, OH",11900,2000,98,53,45,0,0,0,0,93,73,45,0,0,0,0,82,16
"Athens, TN",11940,2000,363,231,110,22,0,0,0,144,81,34,0,158,0,113,83,9
