"Format","AIM CSV File"
"Venue","COMPETITION"
"Vehicle","Rhode Warrior"
"User","PEM"
"Data Source","AIM Data Logger"
"Comment","Phil's ENDURO!!!"
"Date","05/13/17"
"Time","10:59:39"
"Sample Rate","100"
"Duration","72.293"
"Segment","Lap 2 - 1:12.293"

"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","Max_Speed_WS","GPS_MPH","SPS","Oil Pressure_Cal","Speed_WS","AIM_Slip_Factor","Slip Ratio","Average_Driven","WSRPM","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","Max_Speed_WS","GPS_MPH","SPS","Oil Pressure_Cal","Speed_WS","AIM_Slip_Factor","Slip Ratio","Average_Driven","WSRPM","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","psi","psi","g","g","g","#","°F","V","rpm","%","ms","deg","mbar","mbar","lambda","V","V","V","V","V","V","V","V","Hz","Hz","Hz","Hz","V","°F","°F","°F","°F","mph","#","g","g","deg","deg","deg/s","m","m","","Unit","Unit","psi","","","%","Unit","Unit","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53",

0.000,0.000,-3.419414,-46.754120,2.665995,1.475873,-2.243176,4.000000,130.735275,13.298950,5084.000000,12.600000,3.390000,33.100002,856.000000,900.000000,0.507000,0.028000,0.009000,0.009000,0.009000,0.009000,0.039000,1.499000,0.042000,119.000000,114.000000,112.000000,120.000000,13.200000,82.580002,181.579987,68.000000,68.000000,23.052874,10.000000,-0.492013,0.242820,-0.893609,-68.869110,-23.765467,291.000000,1.470000,275.335236,14.315834,1.393198,37.712502,22.944603,0.000000,-4.018392,116.500000,0.022915,42.068626417686,-84.237042245758,291.32
0.010,0.000,-0.978022,-41.260990,2.541411,1.233554,-2.088183,4.000000,130.735275,13.298950,5121.799805,12.200001,3.376000,33.420002,856.000000,899.400024,0.507000,0.027600,0.009000,0.009000,0.009000,0.009000,0.039000,1.503500,0.042000,119.300003,114.500000,112.500000,120.199997,13.200000,82.580002,181.579987,68.000000,68.000000,23.108797,10.000000,-0.492523,0.241545,-0.893609,-69.185379,-23.703587,291.000000,1.471000,276.165985,14.350562,1.393198,37.881252,23.013832,0.000000,-3.722115,116.900002,0.022952,42.068626802522,-84.237043385274,291.32
0.020,0.001,-4.640110,-43.702381,2.344853,1.200009,-1.872963,4.000000,130.735275,13.298950,5159.600098,11.800000,3.362000,33.740002,856.000000,898.799988,0.507000,0.027200,0.009000,0.009000,0.009000,0.009000,0.039000,1.508000,0.042000,119.599998,115.000000,113.000000,120.400002,13.200000,82.580002,181.579987,68.000000,68.000000,23.164721,10.000000,-0.493033,0.240271,-0.893609,-69.501656,-23.641708,291.000000,1.472000,276.996735,14.385291,1.393198,38.050003,23.083061,0.000000,-3.425838,117.300003,0.022990,42.068627187359,-84.237044524790,291.32
0.030,0.001,-5.860806,-50.416210,2.406580,1.371823,-2.058729,4.000000,130.735275,13.298950,5197.399902,11.400001,3.348000,34.060001,856.000000,898.200012,0.507000,0.026800,0.009000,0.009000,0.009000,0.009000,0.039000,1.512500,0.042000,119.900002,115.500000,113.500000,120.599998,13.200000,82.580002,181.579987,68.000000,68.000000,23.220644,10.000000,-0.493542,0.238996,-0.893609,-69.817932,-23.579828,291.000000,1.473000,277.827484,14.420019,1.393198,38.218750,23.152290,0.000000,-3.129562,117.699997,0.023027,42.068627572195,-84.237045664306,291.32
0.040,0.001,-4.640110,-53.467949,2.651701,1.555105,-2.267415,4.000000,130.735275,13.298950,5235.200195,11.000000,3.334000,34.380001,856.000000,897.599976,0.507000,0.026400,0.009000,0.009000,0.009000,0.009000,0.039000,1.517000,0.042000,120.199997,116.000000,114.000000,120.800003,13.200000,82.580002,181.579987,68.000000,68.000000,23.276567,10.000000,-0.494052,0.237722,-0.893609,-70.134201,-23.517948,291.000000,1.474000,278.658234,14.454747,1.393198,38.387501,23.221519,0.000000,-2.833285,118.099998,0.023065,42.068627957032,-84.237046803822,291.32
0.050,0.002,-4.640110,-47.974815,2.628528,1.629648,-2.005688,4.000000,130.735275,13.298950,5273.000000,10.600000,3.320000,34.700001,856.000000,897.000000,0.507000,0.026000,0.009000,0.009000,0.009000,0.009000,0.039000,1.521500,0.042000,120.500000,116.500000,114.500000,121.000000,13.200000,82.580002,181.579987,68.000000,68.000000,23.332489,10.000000,-0.494562,0.236447,-0.893609,-70.450470,-23.456070,291.000000,1.475000,279.489014,14.489475,1.393198,38.556252,23.290749,0.000000,-2.537008,118.500000,0.023102,42.068628341868,-84.237047943338,291.31
0.060,0.002,-10.133242,-49.805862,2.414755,1.604756,-1.634459,4.000000,130.735275,13.298950,5253.200195,9.900001,3.286000,34.520000,856.000000,895.799988,0.507000,0.025600,0.009000,0.009000,0.009000,0.009000,0.039000,1.526000,0.042000,120.800003,117.000000,115.000000,121.199997,13.200000,82.580002,181.579987,68.000000,68.000000,23.388412,10.000000,-0.495072,0.235172,-0.893609,-70.766747,-23.394190,291.000000,1.476000,280.319763,14.524204,1.393198,38.725002,23.359978,0.000000,-2.240731,118.900002,0.023140,42.068628726705,-84.237049082854,291.31
0.070,0.002,-10.133242,-54.078297,2.511065,1.487317,-1.646395,4.000000,130.735275,13.298950,5233.399902,9.200000,3.252000,34.340000,856.000000,894.599976,0.507000,0.025200,0.009000,0.009000,0.009000,0.009000,0.039000,1.530500,0.042000,121.099998,117.500000,115.500000,121.400002,13.200000,82.580002,181.579987,68.000000,68.000000,23.444336,10.000000,-0.495582,0.233898,-0.893609,-71.083023,-23.332310,291.000000,1.477000,281.150513,14.558932,1.393198,38.893753,23.429207,0.000000,-1.944455,119.300003,0.023177,42.068629097392,-84.237050245208,291.31
0.080,0.003,1.463370,-40.040291,2.793228,1.334013,-1.757622,4.000000,130.735275,13.298950,5213.600098,8.500000,3.218000,34.160000,856.000000,893.400024,0.507000,0.024800,0.009000,0.009000,0.009000,0.009000,0.039000,1.535000,0.042000,121.400002,118.000000,116.000000,121.599998,13.200000,82.580002,181.579987,68.000000,68.000000,23.500259,10.000000,-0.496092,0.232623,-0.893609,-71.399292,-23.270430,291.000000,1.478000,281.981262,14.593660,1.393198,39.062500,23.498436,0.000000,-1.648178,119.699997,0.023215,42.068629446855,-84.237051441819,291.31
0.090,0.003,3.294414,-38.819595,2.687562,1.312251,-1.681196,4.000000,130.735275,13.298950,5193.799805,7.800000,3.184000,33.980000,856.000000,892.200012,0.507000,0.024400,0.009000,0.009000,0.009000,0.009000,0.039000,1.539500,0.042000,121.699997,118.500000,116.500000,121.800003,13.200000,82.580002,181.579987,68.000000,68.000000,23.556183,10.000000,-0.496602,0.231348,-0.893609,-71.715561,-23.208551,291.000000,1.479000,282.812012,14.628389,1.393198,39.231251,23.567665,0.000000,-1.351901,120.099998,0.023252,42.068629796318,-84.237052638431,291.31
