v0303,v0304,v0331,v0332,v0333,v0336,v0341,v0342,v0343,v0346,v0351,v0352,v0353,v0356,v0361,v0362,v0363,v0366,v0371,v0372,v0373,v0376,v0381,v0382,v0383,v0386,v0391,v0392,v0393,v0396,v0401,v0402,v0403,v0406,v0411,v0412,v0413,v0416,v0421,v0422,v0423,v0426,personid,male,birthyear,ageatsurvey,birthplaceurban,birthplaceprov,yr_married,edu,noedu,primary,hs,degree,edcat,totmoves,begprov,begplaceurban,jobbefore1,jobafter1,mt1cat,yrmove1,agewhenmoved1,upmove1,downmove1,neutralmove1,prov1,prov2,prov3,prov4,prov5,prov6,prov7,prov8,prov9,prov10,startjob1,startjob2,startjob3,startjob4,startjob5,mvetype1,mvetype2,mvetype3,mvetype4
Eastern ,256,Western ,102,Urban,1995,Gauteng,724,Urban,1996,,,,,,,,,,,,,,,,,,,,,,,,,Eastern ,256,Rural,1997,Western ,102,Urban,1998,2,1,1974,25,0,3,1996,12,0,0,1,0,2,4,2,1,4,4,4,1995,21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Eastern ,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,102,Urban,1999,3,0,1978,21,0,3,9999,7,0,1,0,0,1,1,2,1,4,4,3,1999,21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Eastern ,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,102,Urban,1996,5,0,1972,27,0,3,9999,9,0,0,1,0,2,1,2,1,4,4,3,1996,24,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Eastern ,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,102,Urban,1995,6,0,1975,24,0,3,9999,12,0,0,1,0,2,1,2,1,4,4,3,1995,20,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Western ,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern ,256,Rural,1994,Western ,102,Urban,1999,7,0,1980,19,0,3,9999,9,0,0,1,0,2,2,3,0,4,4,2,1994,14,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Eastern ,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,102,Urban,1999,8,1,1976,23,0,3,9999,12,0,0,1,0,2,1,2,1,4,3,3,1999,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Eastern ,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,102,Urban,1999,9,1,1980,19,0,3,9999,5,0,1,0,0,1,1,2,1,4,4,3,1999,19,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Eastern ,273,Gauteng,704,Urban,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern ,273,Rural,1979,Western ,107,Urban,1980,12,1,1955,44,0,3,1979,5,0,1,0,0,1,3,8,1,4,2,4,1979,24,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Eastern ,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,107,Urban,1995,13,1,1980,19,0,4,9999,11,0,0,1,0,2,1,2,1,4,4,3,1995,15,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Eastern ,221,Eastern ,240,Urban,1981,Western ,106,Urban,1988,Eastern ,208,Urban,1992,Eastern ,240,Urban,1994,Western ,107,Urban,1994,,,,,,,,,,,,,Eastern ,238,Urban,1998,Western ,107,Urban,1998,15,0,1967,32,1,3,1988,4,0,1,0,0,1,7,3,1,4,4,2,1981,14,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Eastern ,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,107,Urban,1991,16,0,1972,27,0,3,9999,13,0,0,0,1,3,1,2,1,4,2,3,1991,19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Eastern ,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,107,Urban,1992,17,1,1968,31,0,3,1995,12,0,0,1,0,2,1,2,1,4,2,3,1992,24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Eastern ,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,107,Urban,1989,18,1,1968,31,1,3,1996,11,0,0,1,0,2,1,2,1,4,2,1,1989,21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Eastern ,260,Gauteng,716,Urban,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KwaZulu-,503,Urban,1976,Western ,107,Urban,1984,20,1,1956,43,0,4,1986,4,0,1,0,0,1,3,8,1,4,2,4,1971,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Eastern ,273,Eastern ,251,Urban,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,710,Urban,1987,Western ,107,Urban,1990,22,1,1973,26,0,3,9999,12,0,0,1,0,2,3,3,1,4,4,4,1986,13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Eastern ,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,107,Urban,1990,23,0,1966,33,0,3,1990,8,0,0,1,0,2,1,2,1,4,2,3,1990,24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Eastern ,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,107,Urban,1991,24,1,1963,36,0,3,1996,2,0,1,0,0,1,1,2,1,4,2,3,1991,28,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Eastern ,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,107,Urban,1986,26,0,1949,50,0,3,1960,7,0,1,0,0,1,1,2,1,4,3,3,1986,37,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Eastern ,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,107,Urban,1992,27,0,1977,22,0,3,1996,11,0,0,1,0,2,1,2,1,4,4,1,1992,15,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Eastern ,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern ,220,Urban,1976,Western ,107,Urban,1984,28,0,1955,44,1,3,9999,7,0,1,0,0,1,2,3,1,3,4,1,1976,21,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Eastern ,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,108,Urban,1979,Western ,107,Urban,1989,29,0,1951,48,1,3,1979,6,0,1,0,0,1,2,2,1,4,3,1,1979,28,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Eastern ,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,107,Urban,1997,30,0,1973,26,0,3,1998,9,0,0,1,0,2,1,2,1,4,3,3,1997,24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Eastern ,263,Western ,106,Urban,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern ,263,Rural,1993,Western ,107,Urban,1998,31,1,1925,74,0,3,1973,0,1,0,0,0,0,3,2,1,4,3,4,1992,67,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Eastern ,263,Western ,109,Urban,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern ,263,Rural,1993,Western ,107,Urban,1999,34,1,1979,20,0,3,9999,8,0,0,1,0,2,3,2,1,4,4,4,1989,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Eastern ,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,107,Urban,1997,36,1,1979,20,0,3,9999,6,0,1,0,0,1,1,2,1,4,4,3,1997,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Eastern ,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,107,Urban,1987,37,0,1966,33,0,3,1985,4,0,1,0,0,1,1,2,1,4,3,3,1987,21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Eastern ,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,107,Urban,1999,38,1,1970,29,0,3,9999,4,0,1,0,0,1,1,2,1,4,4,3,1999,29,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
